,speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
0,lesgol,Lesser Goldfinch,Spinus psaltria,L2832946,UCLA--Central Campus,2022-08-23 14:58,1.0,34.0703907,-118.4439039,True,False,False,S117458203
1,amecro,American Crow,Corvus brachyrhynchos,L13927913,"2454 Glencoe Ave, Los Angeles US-CA 33.99556, -118.44579",2022-08-23 14:17,4.0,33.995559,-118.445785,True,False,True,S117457209
2,mitpar,Mitred Parakeet,Psittacara mitratus,L13927913,"2454 Glencoe Ave, Los Angeles US-CA 33.99556, -118.44579",2022-08-23 14:17,8.0,33.995559,-118.445785,True,False,True,S117457209
3,houspa,House Sparrow,Passer domesticus,L13927913,"2454 Glencoe Ave, Los Angeles US-CA 33.99556, -118.44579",2022-08-23 14:17,4.0,33.995559,-118.445785,True,False,True,S117457209
4,allhum,Allen's Hummingbird,Selasphorus sasin,L13927913,"2454 Glencoe Ave, Los Angeles US-CA 33.99556, -118.44579",2022-08-23 14:17,2.0,33.995559,-118.445785,True,False,True,S117457209
5,houfin,House Finch,Haemorhous mexicanus,L13927913,"2454 Glencoe Ave, Los Angeles US-CA 33.99556, -118.44579",2022-08-23 14:17,2.0,33.995559,-118.445785,True,False,True,S117457209
6,blkpho,Black Phoebe,Sayornis nigricans,L13927913,"2454 Glencoe Ave, Los Angeles US-CA 33.99556, -118.44579",2022-08-23 14:17,1.0,33.995559,-118.445785,True,False,True,S117457209
7,moudov,Mourning Dove,Zenaida macroura,L13927913,"2454 Glencoe Ave, Los Angeles US-CA 33.99556, -118.44579",2022-08-23 14:17,1.0,33.995559,-118.445785,True,False,True,S117457209
8,wesgul,Western Gull,Larus occidentalis,L198793,Del Rey Lagoon Park,2022-08-23 13:44,11.0,33.9610802,-118.4507315,True,False,False,S117455941
9,snoegr,Snowy Egret,Egretta thula,L198793,Del Rey Lagoon Park,2022-08-23 13:44,2.0,33.9610802,-118.4507315,True,False,False,S117455941
10,sposan,Spotted Sandpiper,Actitis macularius,L198793,Del Rey Lagoon Park,2022-08-23 13:44,1.0,33.9610802,-118.4507315,True,False,False,S117455941
11,wesblu,Western Bluebird,Sialia mexicana,L2832946,UCLA--Central Campus,2022-08-23 13:33,2.0,34.0703907,-118.4439039,True,False,False,S117456243
12,caskin,Cassin's Kingbird,Tyrannus vociferans,L2832946,UCLA--Central Campus,2022-08-23 13:33,1.0,34.0703907,-118.4439039,True,False,False,S117456243
13,nutwoo,Nuttall's Woodpecker,Dryobates nuttallii,L2832946,UCLA--Central Campus,2022-08-23 13:33,1.0,34.0703907,-118.4439039,True,False,False,S117456243
14,normoc,Northern Mockingbird,Mimus polyglottos,L2832946,UCLA--Central Campus,2022-08-23 13:33,1.0,34.0703907,-118.4439039,True,False,False,S117456243
15,whbnut,White-breasted Nuthatch,Sitta carolinensis,L2832946,UCLA--Central Campus,2022-08-23 13:33,1.0,34.0703907,-118.4439039,True,False,False,S117456243
16,sonspa,Song Sparrow,Melospiza melodia,L19377651,Sequit Creek,2022-08-23 13:32,1.0,34.043757,-118.742649,True,False,True,S117454523
17,banswa,Bank Swallow,Riparia riparia,L19377651,Sequit Creek,2022-08-23 13:32,5.0,34.043757,-118.742649,True,False,True,S117454523
18,bewwre,Bewick's Wren,Thryomanes bewickii,L19377651,Sequit Creek,2022-08-23 13:32,1.0,34.043757,-118.742649,True,False,True,S117454523
19,daejun,Dark-eyed Junco,Junco hyemalis,L19377651,Sequit Creek,2022-08-23 13:32,2.0,34.043757,-118.742649,True,False,True,S117454523
20,pasfly,Pacific-slope Flycatcher,Empidonax difficilis,L19377651,Sequit Creek,2022-08-23 13:32,1.0,34.043757,-118.742649,True,False,True,S117454523
21,houwre,House Wren,Troglodytes aedon,L19377651,Sequit Creek,2022-08-23 13:32,1.0,34.043757,-118.742649,True,False,True,S117454523
22,caltow,California Towhee,Melozone crissalis,L19377651,Sequit Creek,2022-08-23 13:32,1.0,34.043757,-118.742649,True,False,True,S117454523
23,calqua,California Quail,Callipepla californica,L19377651,Sequit Creek,2022-08-23 13:32,1.0,34.043757,-118.742649,True,False,True,S117454523
24,wlswar,Wilson's Warbler,Cardellina pusilla,L5213678,Fay Yard,2022-08-23 13:00,3.0,33.7720688,-118.392582,True,False,True,S117455272
25,comrav,Common Raven,Corvus corax,L5213678,Fay Yard,2022-08-23 13:00,1.0,33.7720688,-118.392582,True,False,True,S117455272
26,annhum,Anna's Hummingbird,Calypte anna,L160935,Ballona Freshwater Marsh,2022-08-23 12:18,1.0,33.9701285,-118.4305573,True,False,False,S117453749
27,nutman,Scaly-breasted Munia,Lonchura punctulata,L160935,Ballona Freshwater Marsh,2022-08-23 12:18,2.0,33.9701285,-118.4305573,True,False,False,S117453749
28,gadwal,Gadwall,Mareca strepera,L160935,Ballona Freshwater Marsh,2022-08-23 12:18,5.0,33.9701285,-118.4305573,True,False,False,S117453749
29,y00475,American Coot,Fulica americana,L160935,Ballona Freshwater Marsh,2022-08-23 12:18,15.0,33.9701285,-118.4305573,True,False,False,S117453749
30,barswa,Barn Swallow,Hirundo rustica,L160935,Ballona Freshwater Marsh,2022-08-23 12:18,2.0,33.9701285,-118.4305573,True,False,False,S117453749
31,astfly,Ash-throated Flycatcher,Myiarchus cinerascens,L160935,Ballona Freshwater Marsh,2022-08-23 12:18,1.0,33.9701285,-118.4305573,True,False,False,S117453749
32,mallar3,Mallard,Anas platyrhynchos,L160935,Ballona Freshwater Marsh,2022-08-23 12:18,13.0,33.9701285,-118.4305573,True,False,False,S117453749
33,rudduc,Ruddy Duck,Oxyura jamaicensis,L160935,Ballona Freshwater Marsh,2022-08-23 12:18,2.0,33.9701285,-118.4305573,True,False,False,S117453749
34,bushti,Bushtit,Psaltriparus minimus,L160935,Ballona Freshwater Marsh,2022-08-23 12:18,11.0,33.9701285,-118.4305573,True,False,False,S117453749
35,grbher3,Great Blue Heron,Ardea herodias,L160935,Ballona Freshwater Marsh,2022-08-23 12:18,1.0,33.9701285,-118.4305573,True,False,False,S117453749
36,greegr,Great Egret,Ardea alba,L160935,Ballona Freshwater Marsh,2022-08-23 12:18,3.0,33.9701285,-118.4305573,True,False,False,S117453749
37,pibgre,Pied-billed Grebe,Podilymbus podiceps,L160935,Ballona Freshwater Marsh,2022-08-23 12:18,1.0,33.9701285,-118.4305573,True,False,False,S117453749
38,doccor,Double-crested Cormorant,Nannopterum auritum,L160935,Ballona Freshwater Marsh,2022-08-23 12:18,2.0,33.9701285,-118.4305573,True,False,False,S117453749
39,amerob,American Robin,Turdus migratorius,L897615,CSU Long Beach,2022-08-23 12:10,3.0,33.782322,-118.120966,True,False,False,S117453461
40,reshaw,Red-shouldered Hawk,Buteo lineatus,L897615,CSU Long Beach,2022-08-23 12:10,2.0,33.782322,-118.120966,True,False,False,S117453461
41,swiwhe1,Swinhoe's White-eye,Zosterops simplex,L897615,CSU Long Beach,2022-08-23 12:10,4.0,33.782322,-118.120966,True,False,False,S117453461
42,rethaw,Red-tailed Hawk,Buteo jamaicensis,L3121882,Entradero Park,2022-08-23 11:47,1.0,33.8536309,-118.3720636,True,False,False,S117450637
43,saypho,Say's Phoebe,Sayornis saya,L3121882,Entradero Park,2022-08-23 11:47,1.0,33.8536309,-118.3720636,True,False,False,S117450637
44,rocpig,Rock Pigeon,Columba livia,L3121882,Entradero Park,2022-08-23 11:47,5.0,33.8536309,-118.3720636,True,False,False,S117450637
45,coohaw,Cooper's Hawk,Accipiter cooperii,L3121882,Entradero Park,2022-08-23 11:47,1.0,33.8536309,-118.3720636,True,False,False,S117450637
46,turvul,Turkey Vulture,Cathartes aura,L1072713,Westchester Home,2022-08-23 11:30,1.0,33.9710895,-118.4074165,True,False,True,S117452187
47,batpig1,Band-tailed Pigeon,Patagioenas fasciata,L13317766,"625 Fair Oaks Ave, South Pasadena US-CA 34.11784, -118.15126",2022-08-23 11:05,2.0,34.117838,-118.151263,True,False,True,S117448646
48,recpar,Red-crowned Parrot,Amazona viridigenalis,L13317766,"625 Fair Oaks Ave, South Pasadena US-CA 34.11784, -118.15126",2022-08-23 11:05,3.0,34.117838,-118.151263,True,False,True,S117448646
49,buggna,Blue-gray Gnatcatcher,Polioptila caerulea,L5110379,Harvey Mudd College,2022-08-23 11:04,1.0,34.1060589,-117.7089143,True,False,False,S117455840
50,bkhgro,Black-headed Grosbeak,Pheucticus melanocephalus,L5110379,Harvey Mudd College,2022-08-23 11:04,1.0,34.1060589,-117.7089143,True,False,False,S117455840
51,cangoo,Canada Goose,Branta canadensis,L619767,Echo Park,2022-08-23 10:55,14.0,34.0743105,-118.2607627,True,False,False,S117448032
52,brebla,Brewer's Blackbird,Euphagus cyanocephalus,L619767,Echo Park,2022-08-23 10:55,30.0,34.0743105,-118.2607627,True,False,False,S117448032
53,eucdov,Eurasian Collared-Dove,Streptopelia decaocto,L619767,Echo Park,2022-08-23 10:55,1.0,34.0743105,-118.2607627,True,False,False,S117448032
54,yecpar,Yellow-chevroned Parakeet,Brotogeris chiriri,L619767,Echo Park,2022-08-23 10:55,5.0,34.0743105,-118.2607627,True,False,False,S117448032
55,grtgra,Great-tailed Grackle,Quiscalus mexicanus,L619767,Echo Park,2022-08-23 10:55,10.0,34.0743105,-118.2607627,True,False,False,S117448032
56,eursta,European Starling,Sturnus vulgaris,L619767,Echo Park,2022-08-23 10:55,40.0,34.0743105,-118.2607627,True,False,False,S117448032
57,cowscj1,California Scrub-Jay,Aphelocoma californica,L759098,Pepperdine University ponds,2022-08-23 10:41,2.0,34.0367998,-118.7052584,True,False,False,S117448321
58,killde,Killdeer,Charadrius vociferus,L759098,Pepperdine University ponds,2022-08-23 10:41,2.0,34.0367998,-118.7052584,True,False,False,S117448321
59,bnhcow,Brown-headed Cowbird,Molothrus ater,L759098,Pepperdine University ponds,2022-08-23 10:41,78.0,34.0367998,-118.7052584,True,False,False,S117448321
60,hooori,Hooded Oriole,Icterus cucullatus,L759098,Pepperdine University ponds,2022-08-23 10:41,1.0,34.0367998,-118.7052584,True,False,False,S117448321
61,yerwar,Yellow-rumped Warbler,Setophaga coronata,L466092,Jackson Lake,2022-08-23 10:35,10.0,34.3923915,-117.7261019,True,False,False,S117448545
62,haiwoo,Hairy Woodpecker,Dryobates villosus,L466092,Jackson Lake,2022-08-23 10:35,1.0,34.3923915,-117.7261019,True,False,False,S117448545
63,stejay,Steller's Jay,Cyanocitta stelleri,L466092,Jackson Lake,2022-08-23 10:35,4.0,34.3923915,-117.7261019,True,False,False,S117448545
64,mouchi,Mountain Chickadee,Poecile gambeli,L466092,Jackson Lake,2022-08-23 10:35,6.0,34.3923915,-117.7261019,True,False,False,S117448545
65,acowoo,Acorn Woodpecker,Melanerpes formicivorus,L1575401,Scripps College,2022-08-23 10:13,1.0,34.1040298,-117.7103668,True,False,False,S117445177
66,hutvir,Hutton's Vireo,Vireo huttoni,L1575401,Scripps College,2022-08-23 10:13,1.0,34.1040298,-117.7103668,True,False,False,S117445177
